2021. 11. 01. 18:20:00 2195 ms,	51 B	/graphql/ body: { "query" : "query{ student(id: 1){ name } }" }
2021. 11. 01. 18:20:04 145 ms,	31462 B	/graphql/ body: { "query" : " query{ students(order: { name: DESC}, where: { or: [ { name: { contains: \"é\" } }, { name: { contains: \"á\" } } ] }, first: 50 ){ nodes{ name, courses{ name, subject{ name } } } } }" }
2021. 11. 01. 18:20:04 175 ms,	31462 B	/graphql/ body: { "query" : " query{ students(order: { name: DESC}, where: { or: [ { name: { contains: \"é\" } }, { name: { contains: \"á\" } } ] }, first: 50 ){ nodes{ name, courses{ name, subject{ name } } } } }" }
2021. 11. 01. 18:20:05 136 ms,	31462 B	/graphql/ body: { "query" : " query{ students(order: { name: DESC}, where: { or: [ { name: { contains: \"é\" } }, { name: { contains: \"á\" } } ] }, first: 50 ){ nodes{ name, courses{ name, subject{ name } } } } }" }
2021. 11. 01. 18:20:05 141 ms,	31462 B	/graphql/ body: { "query" : " query{ students(order: { name: DESC}, where: { or: [ { name: { contains: \"é\" } }, { name: { contains: \"á\" } } ] }, first: 50 ){ nodes{ name, courses{ name, subject{ name } } } } }" }
2021. 11. 01. 18:20:05 134 ms,	31462 B	/graphql/ body: { "query" : " query{ students(order: { name: DESC}, where: { or: [ { name: { contains: \"é\" } }, { name: { contains: \"á\" } } ] }, first: 50 ){ nodes{ name, courses{ name, subject{ name } } } } }" }
2021. 11. 01. 18:20:05 137 ms,	31462 B	/graphql/ body: { "query" : " query{ students(order: { name: DESC}, where: { or: [ { name: { contains: \"é\" } }, { name: { contains: \"á\" } } ] }, first: 50 ){ nodes{ name, courses{ name, subject{ name } } } } }" }
2021. 11. 01. 18:20:05 133 ms,	31462 B	/graphql/ body: { "query" : " query{ students(order: { name: DESC}, where: { or: [ { name: { contains: \"é\" } }, { name: { contains: \"á\" } } ] }, first: 50 ){ nodes{ name, courses{ name, subject{ name } } } } }" }
2021. 11. 01. 18:20:05 134 ms,	1161 B	/graphql/ body: { "query" : " query{ attendances{ nodes{ student{ name }, course{ subject{ name } } } } }" }
2021. 11. 01. 18:20:05 100 ms,	1161 B	/graphql/ body: { "query" : " query{ attendances{ nodes{ student{ name }, course{ subject{ name } } } } }" }
2021. 11. 01. 18:20:06 100 ms,	1161 B	/graphql/ body: { "query" : " query{ attendances{ nodes{ student{ name }, course{ subject{ name } } } } }" }
2021. 11. 01. 18:20:06 92 ms,	1161 B	/graphql/ body: { "query" : " query{ attendances{ nodes{ student{ name }, course{ subject{ name } } } } }" }
2021. 11. 01. 18:20:06 95 ms,	1161 B	/graphql/ body: { "query" : " query{ attendances{ nodes{ student{ name }, course{ subject{ name } } } } }" }
2021. 11. 01. 18:20:06 92 ms,	1161 B	/graphql/ body: { "query" : " query{ attendances{ nodes{ student{ name }, course{ subject{ name } } } } }" }
2021. 11. 01. 18:20:06 95 ms,	1161 B	/graphql/ body: { "query" : " query{ attendances{ nodes{ student{ name }, course{ subject{ name } } } } }" }
2021. 11. 01. 18:20:06 93 ms,	1161 B	/graphql/ body: { "query" : " query{ attendances{ nodes{ student{ name }, course{ subject{ name } } } } }" }
2021. 11. 01. 18:20:06 95 ms,	1161 B	/graphql/ body: { "query" : " query{ attendances{ nodes{ student{ name }, course{ subject{ name } } } } }" }
2021. 11. 01. 18:20:06 91 ms,	1161 B	/graphql/ body: { "query" : " query{ attendances{ nodes{ student{ name }, course{ subject{ name } } } } }" }
